2013-10-29 07:43:39: 
2013-10-29 07:43:39: System configuration: lcpu=20 mem=24576MB ent=0.50
2013-10-29 07:43:39: 
2013-10-29 07:43:39: kthr    memory              page              faults              cpu
2013-10-29 07:43:39: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:43:39: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:56:51: 0  0 3193874 1180403   0   0   0   0    0   0   1 1066 1214  0  1 98  0  0.02   3.6
2013-10-29 07:56:57: 1  0 3193874 1180403   0   0   0   0    0   0   1 1081 1238  1  1 98  0  0.02   4.2
2013-10-29 07:57:03: 0  0 3193874 1180403   0   0   0   0    0   0   0 1040 1203  0  1 98  0  0.02   3.3
2013-10-29 07:57:09: 1  0 3193874 1180403   0   0   0   0    0   0   1 1114 1277  1  1 98  0  0.02   4.3
2013-10-29 07:57:15: 0  0 3193874 1180402   0   0   0   0    0   0   0 1038 1187  0  1 98  0  0.02   3.4
2013-10-29 07:57:21: 1  0 3193874 1180402   0   0   0   0    0   0   1 1128 1308  5  1 94  0  0.05  11.0
2013-10-29 07:57:27: 1  0 3193874 1180399   0   0   0   0    0   0   4 1334 1293  1  1 98  0  0.02   4.7
2013-10-29 07:57:33: 1  0 3193874 1180399   0   0   0   0    0   0   0 1039 1189  0  1 98  0  0.02   3.4
2013-10-29 07:57:39: kthr    memory              page              faults              cpu
2013-10-29 07:57:39: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:57:39: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:57:39: 2  0 3193874 1180399   0   0   0   0    0   0   4 1143 1234  1  1 98  0  0.02   3.9
2013-10-29 07:57:45: 0  0 3193874 1180398   0   0   0   0    0   0  57 1445 1309  1  3 96  0  0.03   6.6
2013-10-29 07:57:51: 0  0 3193874 1180398   0   0   0   0    0   0   7 1316 1294 11  2 87  0  0.11  21.1
2013-10-29 07:57:57: 3  0 3193874 1180397   0   0   0   0    0   0   6 1194 1308  8  2 90  0  0.08  16.8
